#Field Tile Seq RA(hour) Dec(deg) Filter mean_Mag med_Mag mean_(B-R) med_(B-R)
#1 3444 614 5.02878 -69.171 B -5.912 -5.962 -0.335 -0.348
#MJD Mag Err
48823.477419 -6.081 0.156
48823.487014 -6.041 0.141
48823.496759 -6.046 0.167
48824.458206 -5.971 0.06
48824.467697 -5.901 0.055
48824.477639 -5.98 0.052
48825.483183 -6.024 0.042
48825.492847 -5.97 0.045
48825.502824 -6.059 0.041
48826.464630 -5.897 0.08
48826.491319 -5.925 0.07
48828.585961 -5.44 0.083
48828.656701 -5.735 0.06
48829.456285 -5.676 0.047
48829.584769 -5.775 0.111
48829.659965 -5.976 0.052
48831.461817 -5.696 0.276
48831.564722 -5.965 0.066
48831.638970 -6.018 0.027
48831.661551 -5.886 0.061
48832.459769 -5.903 0.069
48832.651250 -5.951 0.057
48833.569375 -5.943 0.087
48834.430926 -5.993 0.047
48834.515544 -6.012 0.036
48834.639225 -5.939 0.03
48835.571053 -6.049 0.066
48835.606296 -5.933 0.062
48836.522002 -5.859 0.289
48836.564236 -6.173 0.123
48841.441516 -6.059 0.08
48841.541134 -5.94 0.033
48842.458345 -5.97 0.116
48843.416875 -5.887 0.123
48843.562419 -5.458 0.092
48843.640150 -5.752 0.054
48845.452292 -6.156 0.214
48849.583600 -5.942 0.07
48849.659977 -5.779 0.096
48850.497442 -5.869 0.085
48851.481181 -6.016 0.079
48851.597650 -5.959 0.072
48853.645799 -6.01 0.05
48854.455266 -5.884 0.054
48854.557338 -5.889 0.033
48855.527002 -5.949 0.028
48855.579722 -6.033 0.025
48856.609769 -5.812 0.036
48882.423356 -5.953 0.037
48884.469873 -6.032 0.033
48885.437280 -6.001 0.023
48887.500475 -5.893 0.071
48888.555648 -5.622 0.049
48892.592604 -5.899 0.038
48894.561655 -6.013 0.053
48895.587106 -6.043 0.025
48896.589398 -5.925 0.031
48906.407998 -5.679 0.061
48907.393912 -5.856 0.066
48908.278576 -5.712 0.024
48909.397350 -5.931 0.085
48914.578090 -5.965 0.064
48915.430718 -5.904 0.081
48916.516921 -5.981 0.038
48917.352616 -5.886 0.025
48919.355104 -5.9 0.025
48919.441273 -5.646 0.05
48919.516227 -5.692 0.057
48919.599155 -6.039 0.06
48920.286863 -5.741 0.043
48923.513403 -5.987 0.026
48927.261887 -5.993 0.039
48928.290602 -6.086 0.026
48929.238299 -5.986 0.044
48929.449583 -6.027 0.023
48930.241771 -5.936 0.078
48931.239676 -6.02 0.035
48931.425579 -5.961 0.031
48933.393738 -5.874 0.035
48935.397870 -5.486 0.141
48937.405069 -5.776 0.256
48937.415289 -5.545 0.346
48937.438310 -6.109 0.057
48938.280475 -5.864 0.034
48939.296157 -5.995 0.033
48939.460255 -6.061 0.037
48941.356863 -6.003 0.034
48941.482870 -5.915 0.038
48947.395671 -5.982 0.065
48947.518785 -5.6 0.1
48948.477627 -5.567 0.036
48949.293924 -5.988 0.02
48964.443623 -5.77 0.073
48965.279294 -5.649 0.093
48965.417766 -5.751 0.065
48966.282199 -5.686 0.059
48966.397812 -5.871 0.056
48974.325278 -5.96 0.079
48984.276250 -6.01 0.031
48984.446505 -6.101 0.046
48985.303611 -5.985 0.026
48985.432188 -6.025 0.023
48985.497512 -6.027 0.026
48987.291701 -6.04 0.015
48987.420023 -6.033 0.025
48987.465058 -6.036 0.022
48988.279826 -5.993 0.031
48988.402917 -5.988 0.037
48988.421447 -6.02 0.037
48988.469595 -6.037 0.028
48989.301412 -6.082 0.031
48989.407870 -5.946 0.096
48995.312523 -5.657 0.62
48996.248657 -5.719 0.044
48996.362870 -5.734 0.06
48996.486991 -6.026 0.058
48998.250903 -5.912 0.022
48998.360602 -5.882 0.036
48998.445995 -6.038 0.038
49000.265278 -5.97 0.036
49000.443947 -6.042 0.208
49001.253808 -6.02 0.021
49001.445475 -6.005 0.037
49002.251262 -6.007 0.022
49003.347350 -5.959 0.042
49003.441377 -6.049 0.032
49004.244248 -5.989 0.024
49006.260463 -5.985 0.017
49006.444317 -5.939 0.051
49007.268877 -6.023 0.046
49007.429444 -5.792 0.035
49010.425671 -5.85 0.021
49011.340336 -5.74 0.071
49011.424340 -5.937 0.088
49014.447141 -6.003 0.052
49015.254190 -5.985 0.031
49015.379907 -6.023 0.034
49016.253032 -5.941 0.034
49016.408102 -6.039 0.033
49018.277998 -6.0 0.017
49018.406007 -6.004 0.023
49020.335648 -5.948 0.046
49020.518391 -5.893 0.051
49021.282940 -5.957 0.029
49021.399201 -5.922 0.032
49024.250046 -6.006 0.087
49025.282280 -5.571 0.057
49025.319271 -5.654 0.049
49025.496713 -5.916 0.091
49029.250660 -5.876 0.048
49031.271181 -6.053 0.053
49032.246528 -6.059 0.048
