#Field Tile Seq RA(hour) Dec(deg) Filter mean_Mag med_Mag mean_(B-R) med_(B-R)
#1 3444 614 5.02878 -69.171 R -5.578 -5.614 -0.335 -0.348
#MJD Mag Err
48823.477419 -5.089 0.371
48823.487014 -5.726 0.181
48823.496759 -6.09 0.143
48824.458206 -5.751 0.073
48824.467697 -5.455 0.084
48824.477639 -5.561 0.076
48825.483183 -5.593 0.065
48825.492847 -5.732 0.061
48825.502824 -5.584 0.068
48826.464630 -5.66 0.106
48826.491319 -5.667 0.094
48828.585961 -5.037 0.132
48828.656701 -5.423 0.099
48829.456285 -5.431 0.06
48829.584769 -5.56 0.166
48829.659965 -5.73 0.084
48831.461817 -6.409 0.144
48831.564722 -5.755 0.088
48831.638970 -5.584 0.046
48831.661551 -5.786 0.076
48832.459769 -5.591 0.094
48832.651250 -5.648 0.079
48833.569375 -5.849 0.096
48834.430926 -5.638 0.064
48834.515544 -5.636 0.051
48834.639225 -5.642 0.041
48835.571053 -5.649 0.111
48835.606296 -5.748 0.085
48836.522002 -5.434 0.467
48836.564236 -5.733 0.196
48841.441516 -5.849 0.1
48841.541134 -5.719 0.044
48841.633623 -5.477 0.059
48842.458345 -5.385 0.195
48842.565046 -5.446 0.074
48842.632581 -5.253 0.078
48843.416875 -5.552 0.154
48843.562419 -5.117 0.129
48843.640150 -5.283 0.09
48849.583600 -5.759 0.077
48850.497442 -5.544 0.104
48851.481181 -5.722 0.097
48851.597650 -5.717 0.091
48853.645799 -5.643 0.068
48854.557338 -5.622 0.047
48855.527002 -5.686 0.042
48855.579722 -5.709 0.041
48856.609769 -5.477 0.053
48882.423356 -5.562 0.06
48884.469873 -5.614 0.054
48885.437280 -5.606 0.035
48887.500475 -5.689 0.087
48888.555648 -5.213 0.064
48892.592604 -5.58 0.056
48894.561655 -5.736 0.067
48895.587106 -5.698 0.04
48896.589398 -5.759 0.038
48906.407998 -5.281 0.082
48907.393912 -5.271 0.124
48908.278576 -5.432 0.033
48909.397350 -5.854 0.105
48914.578090 -5.682 0.076
48915.430718 -5.786 0.09
48916.516921 -5.659 0.053
48917.352616 -5.698 0.033
48919.355104 -5.529 0.039
48919.441273 -5.393 0.078
48919.516227 -5.248 0.086
48919.599155 -5.693 0.075
48920.286863 -5.521 0.056
48923.513403 -5.649 0.033
48927.261887 -5.621 0.056
48928.290602 -5.629 0.038
48929.238299 -5.637 0.057
48929.449583 -5.64 0.03
48930.241771 -5.849 0.084
48931.239676 -5.558 0.054
48931.425579 -5.719 0.032
48933.393738 -5.543 0.048
48935.397870 -5.574 0.129
48937.405069 -5.416 0.376
48937.415289 -6.139 0.209
48937.438310 -5.597 0.088
48938.280475 -5.526 0.055
48939.296157 -5.726 0.045
48939.460255 -5.665 0.053
48941.356863 -5.717 0.047
48941.482870 -5.695 0.047
48947.395671 -5.8 0.085
48947.518785 -5.58 0.094
48948.477627 -5.248 0.048
48949.293924 -5.549 0.034
48964.443623 -5.372 0.106
48965.279294 -5.524 0.11
48965.417766 -5.541 0.076
48966.282199 -5.333 0.084
48966.397812 -5.586 0.066
48974.325278 -5.464 0.139
48984.276250 -5.639 0.045
48985.303611 -5.678 0.033
48985.432188 -5.692 0.036
48987.291701 -5.628 0.026
48987.420023 -5.678 0.04
48988.279826 -5.606 0.043
48988.402917 -5.651 0.051
48988.421447 -5.676 0.051
48989.301412 -5.639 0.046
48989.407870 -5.378 0.18
48996.248657 -5.265 0.052
48996.362870 -5.498 0.053
48998.250903 -5.594 0.03
48998.360602 -5.62 0.035
49000.265278 -5.715 0.045
49001.253808 -5.602 0.036
49002.251262 -5.677 0.029
49003.347350 -5.688 0.045
49004.244248 -5.565 0.038
49006.260463 -5.647 0.026
49007.268877 -5.6 0.072
49010.352685 -5.286 0.028
49011.340336 -5.532 0.097
49015.254190 -5.651 0.043
49016.253032 -5.583 0.047
49018.277998 -5.638 0.035
49020.335648 -5.69 0.057
49021.282940 -5.59 0.045
49024.250046 -5.686 0.081
49025.282280 -5.164 0.082
49029.250660 -5.735 0.051
49031.271181 -5.68 0.076
49032.246528 -5.648 0.063
49037.232407 -5.641 0.023
49040.268785 -5.272 0.053
49043.248750 -5.56 0.032
49044.258819 -5.649 0.053
49045.232731 -5.611 0.031
49048.229363 -5.76 0.057
49049.245069 -5.718 0.071
49051.225023 -5.6 0.047
49059.226759 -5.604 0.027
49060.209271 -5.627 0.028
49061.212512 -5.623 0.031
49062.210440 -5.656 0.04
49067.204433 -5.65 0.045
49069.206516 -5.592 0.046
49073.203194 -5.671 0.051
49074.196262 -5.595 0.056
49075.188310 -5.688 0.055
49083.215868 -5.731 0.11
